CaseID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,OCCULAR / NASAL DISCHARGE,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,DEHYDRATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,APATHY / DEPRESSION,ANAEMIA / PALLOR (PALE MEMBRANES)_Absent,ANAEMIA / PALLOR (PALE MEMBRANES)_Present,ANAEMIA / PALLOR (PALE MEMBRANES)_Unknown,ANOREXIA / (LOSS OF APPETITE)_Absent,ANOREXIA / (LOSS OF APPETITE)_Present,ANOREXIA / (LOSS OF APPETITE)_Unknown,ATAIXA / INCORDINATION OF MOVEMENT_Absent,ATAIXA / INCORDINATION OF MOVEMENT_Present,ATAIXA / INCORDINATION OF MOVEMENT_Unknown,DIARRHOEA_Absent,DIARRHOEA_Present,DIARRHOEA_Unknown,DYSENTERY (BLOOD IN FAECES)_Absent,DYSENTERY (BLOOD IN FAECES)_Present,DYSENTERY (BLOOD IN FAECES)_Unknown,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Absent,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Present,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Unknown,LYMPH NODE ENLARGEMENT_Absent,LYMPH NODE ENLARGEMENT_Present,LYMPH NODE ENLARGEMENT_Unknown,OCCULAR / NASAL DISCHARGE_Absent,OCCULAR / NASAL DISCHARGE_Present,OCCULAR / NASAL DISCHARGE_Unknown,PYREXIA / FEVER_Absent,PYREXIA / FEVER_Present,PYREXIA / FEVER_Unknown,STARING COAT (STANDING HAIR / ROUGH COAT)_Absent,STARING COAT (STANDING HAIR / ROUGH COAT)_Present,STARING COAT (STANDING HAIR / ROUGH COAT)_Unknown,STUNTED GROWTH_Absent,STUNTED GROWTH_Present,STUNTED GROWTH_Unknown,WEAKNESS_Absent,WEAKNESS_Present,WEAKNESS_Unknown,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Absent,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Present,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Unknown,CONSTIPATION_Absent,CONSTIPATION_Present,CONSTIPATION_Unknown,DEHYDRATION_Absent,DEHYDRATION_Present,DEHYDRATION_Unknown,ICTERUS (YELLOWING OF MEMBRANES)_Absent,ICTERUS (YELLOWING OF MEMBRANES)_Present,ICTERUS (YELLOWING OF MEMBRANES)_Unknown,SUBMANDIBULAR / VENTRAL OEDEMA_Absent,SUBMANDIBULAR / VENTRAL OEDEMA_Present,SUBMANDIBULAR / VENTRAL OEDEMA_Unknown,APATHY / DEPRESSION_Absent,APATHY / DEPRESSION_Present,APATHY / DEPRESSION_Unknown,BRUCELLOSIS,CCPP,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,LUNGWORM,MANGE MITE,MASTITIS,PASTEUROLLOSIS,POX,PPR,TRICHOSTRONGIULOSIS,ZZ_OTHER
942,0,14,D,Eddie,2/19/2019 0:00, GOAT,BRUCELLOSIS,NP,NP,P,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2631,1,0,U,Eddie,11/5/2019 0:00, GOAT,BRUCELLOSIS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
614,0,38,M,Eddie,2/4/2019 0:00, GOAT,CCPP,NP,P,NP,NP,NP,P,NP,P,P,NP,NP,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
163,0,0,U,Eddie,12/31/2018 0:00, GOAT,CCPP,P,NP,NP,NP,NP,P,NP,NP,P,P,P,P,P,NP,NP,NP,NP,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1663,0,0,U,Eddie,5/14/2019 0:00, GOAT,CCPP,NP,P,NP,P,NP,P,NP,NP,P,NP,NP,NP,P,NP,NP,NP,NP,NP,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1169,0,43,D,Eddie,3/6/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,P,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3054,0,31,M,veteddie_eddie,2/7/2020 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2320,0,0,U,Eddie,9/11/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,P,NP,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3082,1,0,U,veteddie_eddie,2/3/2020 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,NP,NP,NP,NP,NP,P,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2345,0,0,U,Eddie,8/17/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,P,NP,NP,NP,NP,NP,NP,P,P,NP,P,P,NP,P,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
